,Unnamed: 0,Unnamed: 0.1,match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stSV,2ndSV,1stNoSV,2ndNoSV,1stIn,2ndIn,isRally1st,isRally2nd,Sv1,Sv2,Rally,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,rallyNoSpec,rallyNoError,rallyNoDirection,rallyLen,PtWinner,isSvrWinner,PtsAfter,GmW,Gm1.1,Gm2.1,SetW,Set1.1,Set2.1,rallyCount,PtsServer,PtsRet,Date,Gender,City,Round,P1Name,P2Name,bigmatchflag,IsCrucialPoint,abouttowin,winorsave,PointType,ClutchPlayer,ClutchPlayerWon,ClutchPlayerLost
27,27,27,20200116-M-Auckland-QF-Hubert_Hurkacz-Feliciano_Lopez,28,0,0,3.0,2.0,0-40,6 (4),1,0,,2,1,FL,6d,5f29f29b28f29b17s19f18b19f18f18r18f+39m1o17*,,0,0.0,6d,5f29f29b28f29b17s19f18b19f18f18r18f+39m1o17*,0,1.0,0,1,6d,5,f29f29b28f29b17s19f18b19f18f18r18f+39m1o17*,False,False,True,False,False,False,f29f29b28f29b17s19f18b19f18f18r18f39m1o17,f29f29b28f29b17s19f18b19f18f18r18f39m1o17,ffbfbsfbffrfmo,14,2,1,15-40,0,3,2,0,0,0,15,0,40,20200116,M,Auckland,QF,Hubert_Hurkacz,Feliciano_Lopez,,True,1,Save,BreakPoint,Feliciano_Lopez,Feliciano_Lopez,Hubert_Hurkacz
28,28,28,20200116-M-Auckland-QF-Hubert_Hurkacz-Feliciano_Lopez,29,0,0,3.0,2.0,15-40,6 (5),1,0,,2,1,FL,4+x,5+b3#,,1,1.0,4x,5b3#,0,1.0,0,1,4+x,5,b3#,False,False,False,True,False,False,b3,b3,b,1,2,1,30-40,0,3,2,0,0,0,1,15,40,20200116,M,Auckland,QF,Hubert_Hurkacz,Feliciano_Lopez,,True,1,Save,BreakPoint,Feliciano_Lopez,Feliciano_Lopez,Hubert_Hurkacz
29,29,29,20200116-M-Auckland-QF-Hubert_Hurkacz-Feliciano_Lopez,30,0,0,3.0,2.0,30-40,6 (6),1,0,,2,1,FL,4+s27y-17r-1z38*,,,1,,4s27y-17r-1z38*,,1,,1,0,4,,s27y-17r-1z38*,False,False,True,False,False,False,s27y17r1z38,s27y17r1z38,syrz,4,2,1,40-40,0,3,2,0,0,0,5,30,40,20200116,M,Auckland,QF,Hubert_Hurkacz,Feliciano_Lopez,,True,1,Save,BreakPoint,Feliciano_Lopez,Feliciano_Lopez,Hubert_Hurkacz
31,31,31,20200116-M-Auckland-QF-Hubert_Hurkacz-Feliciano_Lopez,32,0,0,3.0,2.0,40-AD,6 (8),1,0,,2,1,FL,6n,4b28f18r27f-3d@,,0,0.0,6n,4b28f18r27f-3d@,0,1.0,0,1,6n,4,b28f18r27f-3d@,False,False,False,False,True,False,b28f18r27f3d,b28f18r27f3,bfrf,4,1,0,GM,1,4,2,0,0,0,4,40,50,20200116,M,Auckland,QF,Hubert_Hurkacz,Feliciano_Lopez,,True,1,Win,BreakPoint,Hubert_Hurkacz,Hubert_Hurkacz,Feliciano_Lopez
35,35,35,20200116-M-Auckland-QF-Hubert_Hurkacz-Feliciano_Lopez,36,0,0,4.0,2.0,0-40,7 (4),1,0,,1,2,HH,6w,5f29f38f28b38r29f39f28b1n@,,0,0.0,6w,5f29f38f28b38r29f39f28b1n@,0,1.0,0,1,6w,5,f29f38f28b38r29f39f28b1n@,False,False,False,False,True,False,f29f38f28b38r29f39f28b1n,f29f38f28b38r29f39f28b1,fffbrffb,8,2,0,GM,2,4,3,0,0,0,8,0,40,20200116,M,Auckland,QF,Hubert_Hurkacz,Feliciano_Lopez,,True,2,Win,BreakPoint,Feliciano_Lopez,Feliciano_Lopez,Hubert_Hurkacz
49,49,49,20200116-M-Auckland-QF-Hubert_Hurkacz-Feliciano_Lopez,50,0,0,5.0,4.0,0-40,10 (4),1,0,,2,1,FL,4+s3v^37*,,,1,,4s3v^37*,,1,,1,0,4,,s3v^37*,False,False,True,False,False,False,s3v37,s3v37,sv,2,2,1,15-40,0,5,4,0,0,0,3,0,40,20200116,M,Auckland,QF,Hubert_Hurkacz,Feliciano_Lopez,,True,1,Save,SetPoint,Feliciano_Lopez,Feliciano_Lopez,Hubert_Hurkacz
50,50,50,20200116-M-Auckland-QF-Hubert_Hurkacz-Feliciano_Lopez,51,0,0,5.0,4.0,15-40,10 (5),1,0,,2,1,FL,4+l29f18r17s+39b18*,,,1,,4l29f18r17s+39b18*,,1,,1,0,4,,l29f18r17s+39b18*,False,False,True,False,False,False,l29f18r17s39b18,l29f18r17s39b18,lfrsb,5,1,0,GM,1,6,4,1,1,0,6,15,40,20200116,M,Auckland,QF,Hubert_Hurkacz,Feliciano_Lopez,,True,1,Win,SetPoint,Hubert_Hurkacz,Hubert_Hurkacz,Feliciano_Lopez
78,78,78,20200116-M-Auckland-QF-Hubert_Hurkacz-Feliciano_Lopez,79,1,0,3.0,2.0,0-40,16 (4),1,0,,2,1,FL,6*,,,0,,6*,,1,,0,0,6*,,,True,False,False,False,False,False,,,,0,2,1,15-40,0,3,2,0,1,0,1,0,40,20200116,M,Auckland,QF,Hubert_Hurkacz,Feliciano_Lopez,,True,1,Save,BreakPoint,Feliciano_Lopez,Feliciano_Lopez,Hubert_Hurkacz
79,79,79,20200116-M-Auckland-QF-Hubert_Hurkacz-Feliciano_Lopez,80,1,0,3.0,2.0,15-40,16 (5),1,0,,2,1,FL,4+f1n#,,,1,,4f1n#,,1,,1,0,4,,f1n#,False,False,False,True,False,False,f1n,f1,f,1,2,1,30-40,0,3,2,0,1,0,1,15,40,20200116,M,Auckland,QF,Hubert_Hurkacz,Feliciano_Lopez,,True,1,Save,BreakPoint,Feliciano_Lopez,Feliciano_Lopez,Hubert_Hurkacz
80,80,80,20200116-M-Auckland-QF-Hubert_Hurkacz-Feliciano_Lopez,81,1,0,3.0,2.0,30-40,16 (6),1,0,,2,1,FL,4+b2n#,,,1,,4b2n#,,1,,1,0,4,,b2n#,False,False,False,True,False,False,b2n,b2,b,1,2,1,40-40,0,3,2,0,1,0,1,30,40,20200116,M,Auckland,QF,Hubert_Hurkacz,Feliciano_Lopez,,True,1,Save,BreakPoint,Feliciano_Lopez,Feliciano_Lopez,Hubert_Hurkacz
