,Player,HowPoint,IsCrucialPoint,winorsave,PointType,count,avg_rally_count,WonLost
4,Novak_Djokovic,Unforced,False,N/A,N/A,5820,6.010996563573883,Won
5,Novak_Djokovic,Forced,False,N/A,N/A,5815,4.143766122098023,Won
7,Novak_Djokovic,RallyWinner,False,N/A,N/A,3828,6.776384535005224,Won
36,Novak_Djokovic,Forced,True,Win,GamePoint,1108,2.5541516245487363,Won
43,Novak_Djokovic,Ace,False,N/A,N/A,987,1.0010131712259371,Won
85,Novak_Djokovic,Unforced,True,Win,GamePoint,623,4.775280898876405,Won
97,Novak_Djokovic,RallyWinner,True,Win,GamePoint,584,5.613013698630137,Won
107,Novak_Djokovic,Unforced,True,Save,GamePoint,553,5.027124773960217,Won
133,Novak_Djokovic,Unforced,True,Win,BreakPoint,492,6.662601626016261,Won
146,Novak_Djokovic,Double,False,N/A,N/A,461,0.0,Won
165,Novak_Djokovic,RallyWinner,True,Save,GamePoint,411,6.447688564476886,Won
167,Novak_Djokovic,Forced,True,Save,GamePoint,409,5.334963325183374,Won
185,Novak_Djokovic,Forced,True,Save,BreakPoint,379,4.092348284960422,Won
242,Novak_Djokovic,Ace,True,Win,GamePoint,299,1.0,Won
257,Novak_Djokovic,Unforced,True,Save,BreakPoint,285,7.098245614035088,Won
363,Novak_Djokovic,RallyWinner,True,Save,BreakPoint,196,6.744897959183674,Won
420,Novak_Djokovic,Forced,True,Win,BreakPoint,171,7.964912280701754,Won
437,Novak_Djokovic,Unret,False,N/A,N/A,166,0.9939759036144579,Won
577,Novak_Djokovic,Double,True,Save,GamePoint,122,0.0,Won
578,Novak_Djokovic,RallyWinner,True,Win,BreakPoint,122,9.836065573770492,Won
612,Novak_Djokovic,Other,False,N/A,N/A,111,1.2162162162162162,Won
667,Novak_Djokovic,Unforced,True,Win,SetPoint,103,5.689320388349515,Won
679,Novak_Djokovic,Forced,True,Win,SetPoint,101,2.98019801980198,Won
912,Novak_Djokovic,Forced,True,Save,SetPoint,70,4.085714285714285,Won
988,Novak_Djokovic,Forced,True,Win,MatchPoint,64,3.5,Won
1036,Novak_Djokovic,Double,True,Win,BreakPoint,61,0.0,Won
1049,Novak_Djokovic,Unforced,True,Win,MatchPoint,60,5.816666666666666,Won
1103,Novak_Djokovic,Ace,True,Save,BreakPoint,57,1.0,Won
1222,Novak_Djokovic,Unforced,True,Save,SetPoint,50,5.58,Won
1244,Novak_Djokovic,RallyWinner,True,Win,SetPoint,49,5.877551020408164,Won
1258,Novak_Djokovic,RallyWinner,True,Save,SetPoint,49,6.73469387755102,Won
1303,Novak_Djokovic,RallyWinner,True,Win,MatchPoint,46,6.673913043478261,Won
1651,Novak_Djokovic,RallyWinner,True,Save,MatchPoint,34,6.676470588235294,Won
1782,Novak_Djokovic,Unret,True,Win,GamePoint,31,1.0,Won
2245,Novak_Djokovic,Ace,True,Win,SetPoint,23,1.0,Won
2569,Novak_Djokovic,Unforced,True,Save,MatchPoint,19,4.421052631578948,Won
2754,Novak_Djokovic,Forced,True,Save,MatchPoint,17,4.235294117647059,Won
2885,Novak_Djokovic,Other,True,Win,GamePoint,16,1.0,Won
3196,Novak_Djokovic,Ace,True,Win,MatchPoint,14,1.0,Won
3207,Novak_Djokovic,Unret,True,Save,BreakPoint,13,1.0,Won
